iter	RMSE
208	0.09718464244
209	0.09651640508
210	0.09587789608
211	0.09502830373
212	0.09434634419
213	0.09367826079
214	0.09343720674
215	0.0928185466
216	0.09220629048
217	0.09163962627
218	0.09093078915
219	0.09034047281
220	0.08985563944
221	0.0890402998
222	0.08845415554
223	0.08781929689
224	0.08723062602
225	0.08674174289
226	0.08599694708
227	0.08522171515
228	0.08464564975
229	0.0842597403
230	0.08383929126
231	0.08306674018
232	0.08231144049
233	0.0816560025
234	0.08090590413
235	0.08027032644
236	0.07981378339
237	0.07904113366
238	0.07857065654
239	0.07806705987
240	0.07744049436
241	0.07676812053
242	0.07626055068
243	0.07574072034
244	0.07512936179
245	0.07457954737
246	0.0740592828
247	0.07348311847
248	0.07294096444
249	0.07222433654
250	0.07191255639
251	0.07156238212
252	0.07086772923
253	0.07048517589
254	0.06986181622
255	0.06941161193
256	0.06906386603
257	0.06874190879
258	0.06838116608
259	0.06809240934
260	0.06776056908
261	0.06718969196
262	0.06662896131
263	0.06612143956
264	0.06577342332
265	0.06546224384
266	0.0650260406
267	0.06462624948
268	0.06408374236
269	0.06339242891
270	0.06286227095
271	0.06263029222
272	0.06218383541
273	0.06167317995
274	0.06115575433
275	0.0605950937
276	0.06023598126
277	0.05975285019
278	0.05952387195
279	0.05904954517
280	0.05869459258
281	0.05820238365
282	0.05797830185
283	0.05753012434
284	0.05703433863
285	0.05672346533
286	0.05631658252
287	0.05592393973
288	0.05546635502
289	0.0551144312
290	0.05469354494
291	0.05440024654
292	0.05412194014
293	0.0537459962
294	0.05353413406
295	0.05317330853
296	0.05281857557
297	0.05257393056
298	0.05214238594
299	0.05172001282
300	0.05152194679
301	0.05108715656
302	0.05074947607
303	0.05032490621
304	0.0499274887
305	0.0495151372
306	0.04919190087
307	0.04895043128
308	0.04859122767
309	0.04834542225
310	0.04797478375
311	0.04755748537
312	0.04727653285
313	0.04697373786
314	0.0466665696
315	0.0463387814
316	0.04596408477
317	0.04564787844
318	0.04541467675
319	0.04513130218
320	0.04471342095
321	0.04456957694
322	0.04426066008
323	0.0439459427
324	0.04371238289
325	0.04337338463
326	0.04312259264
327	0.04276694013
328	0.04250145048
329	0.04215603565
330	0.04190423631
331	0.04152656364
332	0.04131530679
333	0.04101916443
334	0.04083953835
335	0.04061301129
336	0.040321063
337	0.04009194011
338	0.03974529349
339	0.03948868557
340	0.03933090302
341	0.03914390823
342	0.03894442994
343	0.03870591177
344	0.03837985285
345	0.03815012896
346	0.03800935381
347	0.03781183682
348	0.03768870852
349	0.03747858919
350	0.03719621221
351	0.03693669416
352	0.03666439388
353	0.03646784657
354	0.0362864674
355	0.0360703522
356	0.03593252378
357	0.03564331156
358	0.03546091942
359	0.03529108876
360	0.03513435764
361	0.03496628049
362	0.03477344857
363	0.034600179
364	0.03439955598
365	0.0343088162
366	0.03401338564
367	0.03386102232
368	0.03366753534
369	0.03356328234
370	0.03344710643
371	0.03337147457
372	0.03317502575
373	0.0329200554
374	0.03272941812
375	0.03255244462
376	0.03237308837
377	0.03230773489
378	0.03213951627
379	0.03191001166
380	0.03176775069
381	0.03160875916
382	0.03155680608
383	0.03149885703
384	0.03133073804
385	0.03110813228
386	0.03095888855
387	0.03082735752
388	0.03066075175
389	0.03061153359
390	0.03048159957
391	0.03023637202
392	0.03011953027
393	0.02992809576
394	0.02974249476
395	0.02962376607
396	0.02940351036
397	0.02922139502
398	0.02904101801
399	0.02890380933
400	0.02879196814
401	0.02874781044
402	0.02867920058
403	0.02848065166
404	0.02836935712
405	0.02829682242
406	0.02816632571
407	0.02805368966
408	0.02792484964
409	0.02779442487
410	0.02764777177
411	0.02750361352
412	0.02737537378
413	0.02722896922
414	0.02717250303
415	0.02711491294
416	0.02699418823
417	0.02691658232
418	0.02686792373
419	0.02676885644
420	0.02672012908
421	0.0266738273
422	0.02663783176
423	0.02645032987
424	0.02633581682
425	0.02623796122
426	0.02617902317
427	0.02614504292
428	0.02598696857
429	0.02587013553
430	0.02566820428
431	0.02559559014
432	0.02552317764
433	0.02546586807
434	0.02527530246
435	0.0252087377
436	0.02516432649
437	0.02507565319
438	0.0249849485
439	0.02488742149
440	0.02481975186
441	0.0246858706
442	0.02453961273
443	0.02440380591
444	0.02422705003
445	0.02418306418
446	0.02411359939
447	0.02394944887
448	0.02376835417
449	0.02367279204
450	0.02353260767
451	0.02349042718
452	0.02330879801
453	0.023199724
454	0.02309764341
455	0.02304176873
456	0.0230127619
457	0.02286139318
458	0.02272283823
459	0.02260881528
460	0.02245534511
461	0.02234982911
462	0.02223513693
463	0.02212277668
464	0.02204402281
465	0.02195205843
466	0.0219062524
467	0.02180925056
468	0.02171058917
469	0.02156422748
470	0.02149244401
471	0.02138815945
472	0.02136565804
473	0.02126091694
474	0.02122205318
475	0.02111551567
476	0.02108648287
477	0.02100119599
478	0.02092701143
479	0.02079482357
480	0.02063728278
481	0.02061535615
482	0.02045150258
483	0.02038113276
484	0.02032622219
485	0.02030483881
486	0.02026156457
487	0.02022403122
488	0.02019370523
489	0.02008149487
490	0.01997993058
491	0.01991178626
492	0.01978415791
493	0.01967012887
494	0.0195549776
495	0.01951395929
496	0.01943955275
497	0.019321842
498	0.01929338658
499	0.01923465914
500	0.01915526765
501	0.01907251945
502	0.01904110374
503	0.01895611977
504	0.01886893899
505	0.01881807916
506	0.01879238918
507	0.01869253773
508	0.01864690755
509	0.01857315669
510	0.01846068786
511	0.0183499172
512	0.01826656563
513	0.01814150953
514	0.01801962869
515	0.01789310697
516	0.01776950465
517	0.01766509169
518	0.01755498297
519	0.01743619439
520	0.01731411638
521	0.01725335346
522	0.01723089254
523	0.01710404106
524	0.0170743866
525	0.01704927245
526	0.01693961379
527	0.01686915273
528	0.01678482
529	0.01676336102
530	0.01665331163
531	0.01659766451
532	0.01658076063
533	0.01645344566
534	0.01636200503
535	0.0163333827
536	0.01628595883
537	0.01621932522
538	0.01616422052
539	0.01609576779
540	0.01600272409
541	0.01590153275
542	0.01583382546
543	0.01572542506
544	0.01568853102
545	0.01557351532
546	0.01552457301
547	0.015504676
548	0.01546130993
549	0.01537153615
550	0.0152795159
551	0.01526082196
552	0.01517507093
553	0.01511569637
554	0.01507072984
555	0.01498578658
556	0.01496632686
557	0.01488429662
558	0.01483277258
559	0.01473529766
560	0.01471814484
561	0.01468158123
562	0.01458454109
563	0.01447603907
564	0.0143812298
565	0.01430330689
566	0.01424920933
567	0.01422750814
568	0.01414749564
569	0.01413420747
570	0.01406091744
571	0.01402920763
572	0.01401488645
573	0.01395033693
574	0.01390507685
575	0.0138564723
576	0.01381939779
577	0.01379907296
578	0.013779244
579	0.01376514631
580	0.0136821936
581	0.01360560193
582	0.01353880942
583	0.01352556629
584	0.01344876696
585	0.01343395854
586	0.01336267931
587	0.0133497872
588	0.01328759599
589	0.01325228673
590	0.01317691063
591	0.01309312508
592	0.01308083087
593	0.01307347844
594	0.01302221031
595	0.01294573068
596	0.01289420802
597	0.01283466339
598	0.01274400854
599	0.01271515886
600	0.01264748094
601	0.01263130255
602	0.01257837996
603	0.01251642947
604	0.01245573993
605	0.01237666125
606	0.01230457028
607	0.01228870715
608	0.01222354236
609	0.01216225178
610	0.01211733401
611	0.01205399718
612	0.01197454062
613	0.01191357428
614	0.01183346198
615	0.01179204651
616	0.01177528236
617	0.01172968881
618	0.01166644348
619	0.01159643765
620	0.01158574802
621	0.01151948471
622	0.01145075009
623	0.01143396549
624	0.01138588574
625	0.01137714897
626	0.01131650139
627	0.01125050482
628	0.01117907399
629	0.0111480386
630	0.01110155573
631	0.01102673408
632	0.01101991176
633	0.01095778995
634	0.01088311978
635	0.0108435432
636	0.01077427695
637	0.01071165064
638	0.01065480526
639	0.01062349485
640	0.01055493349
641	0.01049943054
642	0.01043369931
643	0.01036473657
644	0.01033697498
645	0.01032100224
646	0.01024453823
647	0.01018536386
648	0.01013817685
649	0.01009358557
650	0.01003321584
651	0.01001155853
652	0.009942523505
653	0.009896664308
654	0.009872597632
655	0.009814873935
656	0.009798852906
657	0.009789044
658	0.009734122036
659	0.009726361194
660	0.009718743859
661	0.009682725098
662	0.009667983276
663	0.009609634919
664	0.009587729805
665	0.009532444454
666	0.009472901398
667	0.009409816209
668	0.009363944673
669	0.009309802298
670	0.009272838115
671	0.009221448915
672	0.009214093466
673	0.00916592959
674	0.009147726477
675	0.009106058483
676	0.00907260102
677	0.009060985594
678	0.009003217184
679	0.008960081201
680	0.008900109109
681	0.008855718489
682	0.008847853653
683	0.008796090997
684	0.008759618094
685	0.008724067603
686	0.008674496286
687	0.008624265149
688	0.00859537742
689	0.008545665887
690	0.008486398178
691	0.008433353069
692	0.008374073937
693	0.008358886778
694	0.008305560281
695	0.0082497161
696	0.008204821726
697	0.00819585178
698	0.00814857797
699	0.008109094845
700	0.008052702532
701	0.008010624524
702	0.007983166111
703	0.007935144371
704	0.007909656753
705	0.007903097208
706	0.007856577108
707	0.007816199743
708	0.00780845386
709	0.007803505615
710	0.007791537702
711	0.007751430688
712	0.007709678451
713	0.007697685553
714	0.007653758375
715	0.007615275427
716	0.007605438082
717	0.007599775028
718	0.007547915047
719	0.007541756972
720	0.007535878331
721	0.007485284799
722	0.007444434739
723	0.007415747885
724	0.007372439989
725	0.007332347053
726	0.007297426217
727	0.007258923225
728	0.007211315081
729	0.007164892351
730	0.007131005822
731	0.007092148932
732	0.00706290935
733	0.007023795227
734	0.00698489612
735	0.006980710597
736	0.006958207377
737	0.006925790878
738	0.00690494883
739	0.006877882757
740	0.006847701623
741	0.006819014088
742	0.006766270066
743	0.006723478376
744	0.006676202509
745	0.00667229317
746	0.006640601581
747	0.006600723377
748	0.006569231351
749	0.006528897665
750	0.006498704695
751	0.006462712766
752	0.006441675864
753	0.006416782463
754	0.006377618482
755	0.006347235359
756	0.006320783106
757	0.006291128015
758	0.006266942324
759	0.006240790485
760	0.006196222313
761	0.006153001535
762	0.006115808273
763	0.006093765971
764	0.006070723429
765	0.006044672513
766	0.00603229289
767	0.00598403034
768	0.005957814396
769	0.005942764893
770	0.005914653994
771	0.005892305096
772	0.005857115228
773	0.005828751577
774	0.005805578954
775	0.005773086534
776	0.005749256029
777	0.005741990186
778	0.005716189065
779	0.005676332684
780	0.005658030072
781	0.005631331389
782	0.005597331335
783	0.005591843931
784	0.005573924076
785	0.005558769387
786	0.005525273932
787	0.005500070021
788	0.005467313606
789	0.005454195274
790	0.005433457679
791	0.005410395754
792	0.005368516638
793	0.005339330741
794	0.005305630397
795	0.005278986736
796	0.005255976546
797	0.005239528031
798	0.005234926548
799	0.005211600126
800	0.005197747144
801	0.005175890338
802	0.005141610716
803	0.005109747205
804	0.005088356088
805	0.005060280384
806	0.005029453848
807	0.005023777953
808	0.005000805199
809	0.004975449225
810	0.004958657766
811	0.004953325271
812	0.00493308786
813	0.004911047737
814	0.004889689897
815	0.004862659432
816	0.004831020929
817	0.004806381654
818	0.004787816167
819	0.004765385106
820	0.004748390414
821	0.004738848999
822	0.004707404484
823	0.00467994685
824	0.004644824343
825	0.004612615265
826	0.004588393289
827	0.004567663535
828	0.004550535965
829	0.004532274757
830	0.004515158628
831	0.004495515472
832	0.004470995363
833	0.004450056241
834	0.004446384133
835	0.004420437937
836	0.004394241079
837	0.004375363225
838	0.00435092212
839	0.004323763218
840	0.004301613468
841	0.004283633343
842	0.004280531171
843	0.004260576847
844	0.004248582413
845	0.00423300359
846	0.004218347496
847	0.004208267613
848	0.0041824013
849	0.004168077864
850	0.004154296908
851	0.004137254636
852	0.004118092641
853	0.004101012189
854	0.004086128223
855	0.004063396316
856	0.004040676007
857	0.004020437808
858	0.00401659143
859	0.00400084252
860	0.003976905567
861	0.003963089926
862	0.003944064247
863	0.003921510452
864	0.003896696012
865	0.00388521238
866	0.003869086515
867	0.003859797541
868	0.003857235153
869	0.003838910243
870	0.00382096408
871	0.00380300352
872	0.003779017142
873	0.003761819262
874	0.003748686264
875	0.003728146791
876	0.003717611146
877	0.003704134114
878	0.003682507666
879	0.003662429786
880	0.00364644331
881	0.00363539308
882	0.003615200583
883	0.003611983541
884	0.003599968204
885	0.003581598133
886	0.003572565
887	0.003561955203
888	0.003537773405
889	0.003522458242
890	0.003516396463
891	0.003495701528
892	0.003483968987
893	0.003472390761
894	0.003466753325
895	0.003452268747
896	0.003445636245
897	0.003428438361
898	0.003425474658
899	0.003405160191
900	0.003389403461
901	0.003373521539
902	0.00335977171
903	0.003354101251
904	0.003340581212
905	0.00332144455
906	0.003308075904
907	0.003291161515
908	0.003277638533
909	0.003262626321
910	0.003244905808
911	0.003229696602
912	0.003206996239
913	0.00318602634
914	0.003165795901
915	0.003145598668
916	0.003135052249
917	0.003116424161
918	0.003110424569
919	0.003093213367
920	0.003077905501
921	0.003068374235
922	0.003048279496
923	0.003034395546
924	0.003032361231
925	0.00301513689
926	0.00300635898
927	0.002991202614
928	0.002983294257
929	0.002964990099
930	0.002951546795
931	0.002932980429
932	0.002922715517
933	0.002901396147
934	0.002884639959
935	0.002876044772
936	0.002864552563
937	0.002850969197
938	0.002831196941
939	0.002826170473
940	0.002808920848
941	0.002793181653
942	0.002774804115
943	0.002764244128
944	0.002749032176
945	0.002742511694
946	0.002732321281
947	0.002716838576
948	0.002700333058
949	0.002689228232
950	0.002672287483
951	0.002657225495
952	0.002639318116
953	0.002621434832
954	0.002607334139
955	0.002593863684
956	0.002579614537
957	0.002567051753
958	0.002558641805
959	0.002550752906
960	0.002537243682
961	0.002530165517
962	0.002520441801
963	0.002509934929
964	0.002503192967
965	0.002486945566
966	0.002470451392
967	0.002456048636
968	0.002444848637
969	0.002436299096
970	0.00242602702
971	0.002410022268
972	0.002396552188
973	0.002380687585
974	0.002366407756
975	0.002358930346
976	0.002348665802
977	0.002338264934
978	0.002326658592
979	0.00231758122
980	0.002307639925
981	0.002298492114
982	0.00228933705
983	0.002276458219
984	0.00226088595
985	0.002256715308
986	0.00224818596
987	0.002236701656
988	0.002224645835
989	0.002217072728
990	0.002206208995
991	0.00219562756
992	0.002188777391
993	0.002177770581
994	0.002171247357
995	0.002158264975
996	0.002151616703
997	0.002139974244
998	0.002123168828
999	0.002112233963
